code,parent_code,name,medical_reasoning,possibility
3A00.0,3A00,Acquired iron deficiency anaemia due to blood loss,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which can indicate anemia. Additionally, iron levels (LBXSIR) can help assess iron deficiency, which is crucial for diagnosing acquired iron deficiency anemia due to blood loss.",Possible
3A00.01,3A00,Chronic posthaemorrhagic anaemia,"Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which are essential for screening chronic posthaemorrhagic anemia. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can help stratify risk.",Possible
3A00.0Z,3A00,"(Acquired iron deficiency anaemia due to blood loss, unspecified)","The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and iron levels (LBXSIR), which are essential for screening and assessing iron deficiency anemia. These features can help identify anemia and suggest iron deficiency, thus enabling a probabilistic model for the disease.",Possible
3A00.1,3A00,Acquired iron deficiency anaemia due to low intake,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and iron levels (LBXSIR) are available, which are essential for screening and assessing iron deficiency anemia.",Possible
3A00.2,3A00,Acquired iron deficiency anaemia due to decreased absorption,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and iron levels (LBXSIR) are available, which are essential for screening and assessing iron deficiency anemia.",Possible
3A00.3,3A00,Acquired iron deficiency anaemia due to increased requirement,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI) are available, which can indicate iron deficiency anemia. Additionally, iron levels (LBXSIR) can help assess iron status, supporting the screening for acquired iron deficiency anemia due to increased requirement.",Possible
3A00.Y,3A00,Other specified iron deficiency anaemia,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and iron levels (LBXSIR) are available, which are essential for screening iron deficiency anemia.",Possible
3A00.Z,3A00,"(Iron deficiency anaemia, unspecified)","Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which are essential for screening iron deficiency anemia. Additionally, iron levels (LBXSIR) can further support the assessment.",Possible
3A01.0,3A01,Hereditary vitamin B12 deficiency anaemia,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) can indicate macrocytic anemia, which is characteristic of vitamin B12 deficiency. However, the absence of vitamin B12 levels or methylmalonic acid (MMA) measurements limits definitive diagnosis; nonetheless, screening for anemia is feasible.",Possible
3A01.1,3A01,Neonatal vitamin B12 deficiency anaemia,"Key signals for screening neonatal vitamin B12 deficiency anemia, such as serum vitamin B12 levels and methylmalonic acid (MMA) levels, are missing. The available features do not include specific markers for vitamin B12 status or deficiency.",Not Possible
3A01.2,3A01,Vitamin B12 deficiency anaemia due to low intake,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can indicate macrocytic anemia typically associated with vitamin B12 deficiency. However, the absence of direct vitamin B12 levels or dietary intake data limits the assessment's specificity.",Possible
3A01.3,3A01,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia typical of Vitamin B12 deficiency. However, intrinsic factor deficiency specifically cannot be assessed without additional features like serum B12 levels or intrinsic factor antibodies.",Possible
3A01.30,3A01,Pernicious anaemia,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can help identify macrocytic anemia typical of pernicious anemia. However, the absence of vitamin B12 levels or intrinsic factor antibodies limits definitive screening.",Possible
3A01.3Y,3A01,Other specified vitamin B12 deficiency anaemia due to intrinsic factor deficiency,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify macrocytic anemia typically associated with vitamin B12 deficiency. However, the absence of direct measures of vitamin B12 levels or intrinsic factor status limits the specificity of the screening. Nonetheless, the hematological features can still provide a reasonable basis for screening.",Possible
3A01.4,3A01,Vitamin B12 deficiency anaemia due to intestinal disease,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can indicate macrocytic anemia typical of Vitamin B12 deficiency. However, the absence of direct measures of Vitamin B12 levels or intrinsic factor status limits definitive diagnosis but does not preclude screening for anemia.",Possible
3A01.5,3A01,Drug-induced vitamin B12 deficiency anaemia,"Key signals for screening drug-induced vitamin B12 deficiency anemia, such as serum vitamin B12 levels and methylmalonic acid (MMA) levels, are missing. The available features do not provide sufficient information to assess vitamin B12 status or its deficiency.",Not Possible
3A01.Y,3A01,Other specified megaloblastic anaemia due to vitamin B12 deficiency,"Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can indicate megaloblastic anemia. However, vitamin B12 levels are not listed, which is essential for definitive diagnosis; nonetheless, the available features can still support a screening approach for anemia.",Possible
3A01.Z,3A01,"(Megaloblastic anaemia due to vitamin B12 deficiency, unspecified)","Key hematological features such as hemoglobin (LBXHGB), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can indicate megaloblastic anemia. Additionally, the presence of age and gender data can help stratify risk. However, vitamin B12 levels are not included, which is essential for definitive diagnosis; nonetheless, screening for anemia is feasible.",Possible
3A02.0,3A02,Hereditary folate deficiency anaemia,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia indicative of folate deficiency. However, the absence of direct measures of folate levels limits the specificity of the screening.",Possible
3A02.1,3A02,Folate deficiency anaemia due to low intake,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can help identify macrocytic anemia indicative of folate deficiency. However, the absence of direct measures of folate levels limits the specificity of the assessment.",Possible
3A02.2,3A02,Folate deficiency anaemia due to increased requirements,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia indicative of folate deficiency. However, the absence of direct folate level measurements limits the specificity of the assessment.",Possible
3A02.3,3A02,Folate deficiency anaemia due to decreased intestinal absorption,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia indicative of folate deficiency. However, the absence of direct folate level measurements limits the specificity of the assessment.",Possible
3A02.4,3A02,Drug-induced folate deficiency anaemia,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia. Additionally, the presence of iron levels (LBXIR) can assist in differentiating between types of anemia, including drug-induced folate deficiency. However, specific folate levels are not listed, which is a limitation for definitive diagnosis but does not preclude screening for anemia.",Possible
3A02.Y,3A02,Other specified folate deficiency anaemia,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia and suggest folate deficiency. However, direct measurement of folate levels is missing, which is essential for definitive diagnosis. Nonetheless, the available features can support a probabilistic model for screening.",Possible
3A02.Z,3A02,"(Folate deficiency anaemia, unspecified)","Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify macrocytic anemia indicative of folate deficiency. However, the absence of direct folate level measurements limits specificity.",Possible
3A03.0,3A03,Hereditary orotic aciduria,"Hereditary orotic aciduria is characterized by elevated orotic acid levels in urine, which is not assessed by any of the available NHANES features. Key metabolic markers and genetic testing are essential for screening, and these are absent.",Not Possible
3A03.1,3A03,Protein deficiency anaemia,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI) are available, which are essential for screening protein deficiency anemia. Additionally, iron levels (LBXIR) can help assess iron deficiency, a common cause of this anemia.",Possible
3A03.2,3A03,Scorbutic anaemia,"Scorbutic anaemia is primarily caused by vitamin C deficiency, and key features such as serum vitamin C levels or dietary intake data are missing. The available hematological features do not provide sufficient information to screen for this specific type of anaemia.",Not Possible
3A03.3,3A03,Copper deficiency anaemia,"Key signals for screening copper deficiency anemia, such as serum copper levels and ceruloplasmin, are missing. While hematological parameters like hemoglobin and red blood cell count are available, they are insufficient for a definitive screening or likelihood assessment of copper deficiency anemia.",Not Possible
3A03.4,3A03,Acquired other vitamin B deficiency anaemia,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. Additionally, iron levels (LBXSI) can be assessed to differentiate between types of anemia, including vitamin B deficiency. However, specific vitamin B levels (e.g., B12, folate) are not available, which limits the ability to confirm the deficiency directly. Nonetheless, the combination of hematological features allows for a reasonable screening approach for anemia.",Possible
3A03.40,3A03,Acquired pyridoxine deficiency anaemia,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify anemia. However, the absence of direct measures of pyridoxine (vitamin B6) levels or related metabolic markers limits the specificity of the screening for acquired pyridoxine deficiency anemia. Nonetheless, the hematological features can still indicate the presence of anemia, allowing for further investigation.",Possible
3A03.41,3A03,Acquired riboflavin deficiency anaemia,"Key signals for screening acquired riboflavin deficiency anemia, such as riboflavin levels or specific vitamin deficiency markers, are missing. The available features do not provide sufficient information to assess riboflavin status or its deficiency.",Not Possible
3A03.42,3A03,Acquired thiamine deficiency anaemia,"Key signals for screening acquired thiamine deficiency anemia, such as thiamine levels or dietary intake assessments, are missing. While hematological parameters like hemoglobin and red blood cell count are available, they are insufficient for a specific diagnosis of thiamine deficiency anemia.",Not Possible
3A03.4Y,3A03,Other specified acquired other vitamin B deficiency anaemia,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, iron levels (LBXIR) can help assess vitamin B deficiencies indirectly. However, direct measurements of vitamin B levels (e.g., B12, folate) are missing, which limits specificity for vitamin B deficiency anemia. Nonetheless, the combination of hematological features allows for a reasonable assessment of anemia likelihood.",Possible
3A03.5,3A03,Acquired vitamin A deficiency anaemia,"Key signals for screening acquired vitamin A deficiency anemia, such as serum retinol levels or dietary intake of vitamin A, are missing. The available features do not include vitamin A status or related nutritional assessments necessary for screening this condition.",Not Possible
3A03.6,3A03,Acquired vitamin E deficiency anaemia,"Key signals for screening acquired vitamin E deficiency anemia, such as vitamin E levels or specific dietary intake assessments, are missing. The available features do not provide the necessary biochemical markers to assess vitamin E status or deficiency.",Not Possible
3A03.Y,3A03,Other and unspecified nutritional or metabolic anaemia,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and iron levels (LBXIR), which are essential for screening various types of nutritional or metabolic anemia. These features can help assess anemia prevalence and differentiate between types, thus enabling a meaningful screening process.",Possible
3A10.0,3A10,Haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI), which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess jaundice associated with hemolytic anemia. These features can be used to screen for hemolytic anemias due to metabolic anomalies.",Possible
3A10.00,3A10,Haemolytic anaemia due to glucose-6-phosphate dehydrogenase deficiency,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and total bilirubin (LBXSTB) are available, which can indicate hemolysis and anemia. These parameters can help in screening for hemolytic anemia due to G6PD deficiency, as they provide essential signals for assessing red blood cell destruction and overall anemia status.",Possible
3A10.0Y,3A10,Other specified haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) are available, which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess for hemolytic anemia. However, specific markers for hexose monophosphate shunt or glutathione metabolism anomalies are not included, which may limit specificity.",Possible
3A10.0Z,3A10,"(Haemolytic anaemias due to hexose monophosphate shunt or glutathione metabolism anomalies, unspecified)","Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) are available, which can indicate hemolytic anemia. However, specific markers for hexose monophosphate shunt or glutathione metabolism anomalies are not included, but the general anemia assessment is feasible.",Possible
3A10.1,3A10,Haemolytic anaemia due to adenosine deaminase excess,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) can indicate hemolysis, while total bilirubin (LBXSTB) can suggest increased breakdown of red blood cells. These features can help screen for hemolytic anemia, including that due to adenosine deaminase excess. However, specific markers for adenosine deaminase levels are not available, which limits specificity.",Possible
3A10.2,3A10,Hereditary elliptocytosis,"Key features for screening hereditary elliptocytosis, such as specific red blood cell morphology assessments (e.g., peripheral blood smear) and genetic testing for mutations in the spectrin or protein 4.1 genes, are not available. The listed features do not provide sufficient hematological signals to effectively screen for this condition.",Not Possible
3A10.3,3A10,Familial pseudohyperkalaemia,"Familial pseudohyperkalaemia is characterized by elevated serum potassium levels without true hyperkalemia, often requiring genetic testing or specific potassium handling assessments. The available features do not include potassium levels or genetic markers, which are essential for screening this condition.",Not Possible
3A10.Y,3A10,Other specified hereditary haemolytic anaemia,"Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) are available, which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess for hemolytic anemia. These features allow for screening and likelihood assessment of hereditary hemolytic anemia.",Possible
3A10.Z,3A10,"(Hereditary haemolytic anaemia, unspecified)","Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia and suggest hemolytic processes. However, the absence of specific markers for hemolysis (e.g., haptoglobin, reticulocyte count) limits the precision of screening for hereditary hemolytic anemia.",Possible
3A20.0,3A20,"(Autoimmune haemolytic anaemia, warm type)","Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) can indicate hemolysis, while total bilirubin (LBXSTB) can suggest increased breakdown of red blood cells, all of which are relevant for screening autoimmune hemolytic anemia.",Possible
3A20.1,3A20,"(Autoimmune haemolytic anaemia, cold type)","Key features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and total bilirubin (LBXSTB) can indicate hemolysis, while lactate dehydrogenase (LBXSLDSI) can suggest increased cell turnover. These parameters can help screen for autoimmune hemolytic anemia, including the cold type, by assessing anemia and hemolytic signs.",Possible
3A20.2,3A20,"(Autoimmune haemolytic anaemia, mixed type, cold and warm)","Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) can indicate hemolysis, while total bilirubin (LBXSTB) can suggest increased breakdown of red blood cells. These features, combined with demographic data (age, gender), allow for a reasonable screening approach for autoimmune hemolytic anemia. However, the absence of direct markers for autoimmune processes (e.g., direct Coombs test) limits specificity.",Possible
3A20.3,3A20,Paroxysmal cold haemoglobinuria,"Key features such as direct evidence of hemolysis (e.g., haptoglobin levels, reticulocyte count, or direct Coombs test) and specific markers for paroxysmal cold hemoglobinuria are missing, which are essential for screening this condition.",Not Possible
3A20.4,3A20,Alloimmune haemolytic anaemia,"Key signals for screening alloimmune hemolytic anemia, such as direct Coombs test results, specific antibody tests, and reticulocyte count, are not available in the listed features.",Not Possible
3A20.5,3A20,Evans syndrome,"Evans syndrome is characterized by autoimmune hemolytic anemia and thrombocytopenia. The available features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), platelet count (LBXPLTSI), and lymphocyte percent (LBXLYPCT) can provide key signals for screening. These features can help identify the hematological abnormalities associated with Evans syndrome, allowing for a meaningful assessment of disease likelihood.",Possible
3A20.Y,3A20,"(Other specified acquired haemolytic anaemia, immune)","Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) can indicate hemolysis, while total bilirubin (LBXSTB) can suggest increased breakdown of red blood cells. These features can help screen for acquired hemolytic anemia. However, the absence of direct markers for immune-mediated hemolysis (e.g., direct Coombs test) limits specificity.",Possible
3A21.0,3A21,Paroxysmal nocturnal haemoglobinuria,"Key diagnostic features for Paroxysmal nocturnal hemoglobinuria (PNH) such as flow cytometry for CD55 and CD59 expression on red blood cells, and tests for hemolysis (e.g., haptoglobin, LDH) are not available. The listed features do not provide sufficient information to screen or assess likelihood for PNH.",Not Possible
3A21.1,3A21,Microangiopathic haemolytic anaemia,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), lactate dehydrogenase (LBXSLDSI), and total bilirubin (LBXSTB) are available, which can indicate hemolysis and anemia. However, the absence of specific markers for microangiopathic processes (e.g., ADAMTS13 activity, schistocytes on blood smear) limits definitive diagnosis but does allow for screening based on hematological abnormalities.",Possible
3A21.2,3A21,Haemolytic uraemic syndrome,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), platelet count (LBXPLTSI), and lactate dehydrogenase (LBXSLDSI) can indicate hemolysis and renal impairment, which are critical in assessing hemolytic uraemic syndrome. However, the absence of specific markers like ADAMTS13 activity or direct measures of renal function (e.g., urine output) limits the precision of the screening.",Possible
3A21.Y,3A21,"(Other specified acquired haemolytic anaemia, non-immune)","Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and lactate dehydrogenase (LBXSLDSI) are available, which can indicate hemolysis. Additionally, total bilirubin (LBXSTB) can help assess for hemolytic anemia. These features allow for a reasonable screening approach to identify the likelihood of acquired hemolytic anemia.",Possible
3A50.0,3A50,Alpha thalassaemia,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of alpha thalassemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does allow for screening based on hematological parameters.",Possible
3A50.00,3A50,Mild alpha thalassaemia diseases,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia and other abnormalities associated with mild alpha thalassemia.",Possible
3A50.01,3A50,Thalassaemic alpha-chain variants,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify thalassaemia traits. These features can be used to assess the likelihood of alpha-chain variants through screening for microcytic anemia and abnormal red cell indices.",Possible
3A50.02,3A50,Haemoglobin H disease (- alpha / -- included),"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red blood cell count (LBXRBCSI) are available, which can help identify microcytic anemia and other abnormalities associated with Haemoglobin H disease.",Possible
3A50.03,3A50,Homozygous or compound heterozygous alpha0 thalassaemia,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of alpha thalassemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does allow for screening based on hematological parameters.",Possible
3A50.0Y,3A50,Other specified alpha thalassaemia,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of alpha thalassemia. However, genetic testing or specific markers for alpha thalassemia are not included, but the available features can still support a screening approach.",Possible
3A50.0Z,3A50,"(Alpha thalassaemia, unspecified)","Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of alpha thalassemia.",Possible
3A50.1,3A50,Alpha thalassaemia related syndromes,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of alpha thalassemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does allow for screening based on hematological parameters.",Possible
3A50.2,3A50,Beta thalassaemia,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia typical of beta thalassaemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does allow for screening based on hematological parameters.",Possible
3A50.3,3A50,"(Delta, delta-beta or gamma-delta-beta thalassaemia)","Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify thalassemia traits. However, genetic testing or specific hemoglobin electrophoresis results are not listed, which are typically essential for definitive diagnosis. Nonetheless, the available features can provide a reasonable screening framework for likelihood assessment.",Possible
