code,parent_code,name,medical_reasoning,possibility
3A50.4,3A50,Hereditary persistence of fetal haemoglobin,"Key signals for screening hereditary persistence of fetal hemoglobin, such as specific hemoglobin electrophoresis results or genetic testing for HBF persistence, are not available in the listed features.",Not Possible
3A50.Y,3A50,Other specified thalassaemias,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify thalassaemias through characteristic microcytic anemia and altered red cell indices.",Possible
3A50.Z,3A50,"(Thalassaemias, unspecified)","Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify thalassemia through characteristic microcytic anemia and altered red cell indices.",Possible
3A51.0,3A51,Sickle cell trait,"Sickle cell trait screening typically requires hemoglobin electrophoresis or genetic testing to identify the presence of the HbS allele, which are not included in the available features. The listed hematological parameters alone do not provide sufficient specificity or sensitivity for screening.",Not Possible
3A51.1,3A51,Sickle cell disease without crisis,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which can help identify sickle cell disease through abnormal values indicative of hemolysis and anemia.",Possible
3A51.2,3A51,Sickle cell disease with crisis,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and white blood cell count (LBXWBCSI) are available, which can help identify anemia and leukocytosis associated with sickle cell crises. Additionally, the presence of lactate dehydrogenase (LBXSLDSI) and total bilirubin (LBXSTB) can indicate hemolysis, further supporting the assessment of sickle cell disease.",Possible
3A51.3,3A51,Compound heterozygous sickling disorders without crisis,"Key signals for screening compound heterozygous sickling disorders, such as hemoglobin electrophoresis or genetic testing for sickle cell mutations, are missing. The available features do not provide sufficient specificity or sensitivity for this condition.",Not Possible
3A51.4,3A51,Compound heterozygous sickling disorders with crisis,"Key signals for screening compound heterozygous sickling disorders, such as hemoglobin electrophoresis or genetic testing for sickle cell mutations, are missing. The available features do not provide sufficient specificity or sensitivity for effective screening.",Not Possible
3A51.5,3A51,Haemoglobin C disease,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and mean cell volume (LBXMCVSI) are available, which can help identify abnormalities associated with Hemoglobin C disease. These features can be used to assess the likelihood of the disease through screening for hemolytic anemia and abnormal hemoglobin patterns.",Possible
3A51.6,3A51,Haemoglobin D disease,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and mean cell volume (LBXMCVSI) are available, which can help identify abnormalities associated with Haemoglobin D disease. These features can be used to assess the likelihood of the disease through screening for characteristic hematological changes.",Possible
3A51.7,3A51,High affinity haemoglobin,"Key features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and mean cell volume (LBXMCVSI) are available, which are essential for assessing high affinity hemoglobin conditions. These features can help identify abnormalities in red blood cell parameters indicative of the disease.",Possible
3A51.8,3A51,Low affinity haemoglobin,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help assess low affinity hemoglobin conditions.",Possible
3A51.9,3A51,Haemoglobin O disease,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and hematocrit (LBXHCT) are available, which can help identify abnormalities associated with Haemoglobin O disease. These features can be used to assess the likelihood of the disease through screening for hemoglobinopathies.",Possible
3A51.A,3A51,Haemoglobin E disease,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with Haemoglobin E disease.",Possible
3A51.B,3A51,Haemoglobin C/beta thalassaemia compound heterozygosity,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with hemoglobin C/beta thalassaemia. However, genetic testing or specific hemoglobin electrophoresis results are not available, which limits definitive diagnosis but does allow for screening based on hematological parameters.",Possible
3A51.Y,3A51,Other specified sickle cell disorders or other haemoglobinopathies,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and mean cell volume (LBXMCVSI) are available, which can help identify abnormalities associated with sickle cell disorders and other hemoglobinopathies.",Possible
3A51.Z,3A51,"(Sickle cell disorders or other haemoglobinopathies, unspecified)","Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI) are available, which can help identify abnormalities associated with sickle cell disorders and other hemoglobinopathies.",Possible
3A60.0,3A60,Congenital non-inherited pure red cell aplasia,"Key signals for screening congenital non-inherited pure red cell aplasia, such as specific genetic markers or bone marrow examination results, are missing. The available features do not provide sufficient information to assess red cell production or the underlying causes of aplasia.",Not Possible
3A60.1,3A60,Hereditary pure red cell aplasia,"Key signals for hereditary pure red cell aplasia, such as specific genetic markers or direct measures of erythropoiesis (e.g., reticulocyte count, erythropoietin levels), are missing. The available features do not provide sufficient information to screen or assess likelihood effectively.",Not Possible
3A60.Z,3A60,"(Congenital pure red cell aplasia, unspecified)","The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for assessing anemia and can help identify red cell aplasia. These features can be used to screen for congenital pure red cell aplasia by evaluating the presence of anemia and abnormal red cell indices.",Possible
3A61.0,3A61,Acute acquired pure red cell aplasia,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW) are available, which can help identify anemia and suggest red cell aplasia. However, the absence of reticulocyte count and direct measures of bone marrow function limits the assessment's specificity.",Possible
3A61.1,3A61,Chronic acquired pure red cell aplasia,"Chronic acquired pure red cell aplasia is characterized by a reduction in red blood cell production, which can be assessed using features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW). These features provide key signals for screening and assessing the likelihood of the disease.",Possible
3A61.Y,3A61,Other specified acquired pure red cell aplasia,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for assessing anemia and red cell aplasia. Additionally, white blood cell count (LBXWBCSI) and lymphocyte percent (LBXLYPCT) can help rule out other hematological conditions. However, the absence of specific markers for autoimmune or parvovirus-related causes of pure red cell aplasia limits the assessment's specificity.",Possible
3A61.Z,3A61,"(Acquired pure red cell aplasia, unspecified)","The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for assessing anemia and can help identify pure red cell aplasia. Additionally, white blood cell count (LBXWBCSI) and other blood cell parameters provide further context for differential diagnosis.",Possible
3A70.0,3A70,Congenital aplastic anaemia,"Key hematological features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of congenital aplastic anemia.",Possible
3A70.1,3A70,Acquired aplastic anaemias,"Key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of acquired aplastic anemia. However, the absence of bone marrow analysis or specific genetic markers limits definitive diagnosis but does not preclude screening for likelihood assessment.",Possible
3A70.10,3A70,Drug-induced aplastic anaemia,"Key hematological features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of drug-induced aplastic anemia. However, the absence of drug exposure history or specific tests for drug-induced causes limits the assessment.",Possible
3A70.11,3A70,Aplastic anaemia due to other external agents,"Aplastic anemia can be screened using features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI). These hematological parameters can indicate cytopenias characteristic of aplastic anemia. However, the absence of specific tests for bone marrow function or exposure history limits the assessment's precision.",Possible
3A70.12,3A70,Idiopathic aplastic anaemia,"Key hematological features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of idiopathic aplastic anemia.",Possible
3A70.1Y,3A70,Other specified acquired aplastic anaemias,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which are essential for screening aplastic anemia. These features can help identify cytopenias characteristic of the disease, thus enabling a meaningful assessment of disease likelihood.",Possible
3A70.1Z,3A70,"(Acquired aplastic anaemias, unspecified)","The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which are essential for screening aplastic anemia. These features can help identify cytopenias characteristic of the disease, thus enabling a meaningful assessment of disease likelihood.",Possible
3A70.Z,3A70,"(Aplastic anaemia, unspecified)","Aplastic anemia can be screened using features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI). These hematological parameters can indicate cytopenias characteristic of aplastic anemia, allowing for a meaningful assessment of disease likelihood.",Possible
3A71.0,3A71,Anaemia in neoplastic disease,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW) are available, which are essential for screening anemia. Additionally, the presence of white blood cell count (LBXWBCSI) and other blood cell indices can help assess the underlying neoplastic disease contributing to anemia.",Possible
3A71.1,3A71,Anaemia in chronic infectious diseases,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW) are available, which are essential for screening anemia. Additionally, white blood cell count (LBXWBCSI) and differential counts can help assess underlying infections contributing to chronic anemia.",Possible
3A71.2,3A71,Anaemia in chronic kidney disease,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which are essential for screening anemia. Additionally, creatinine (LBXSCR) is crucial for assessing kidney function, which is directly related to chronic kidney disease.",Possible
3A71.Y,3A71,Anaemia due to other specified chronic disease,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, the presence of iron levels (LBXIR) can help assess anemia due to chronic disease. These features can be used to build a probabilistic model to identify individuals at risk of anemia due to chronic disease.",Possible
3A71.Z,3A71,"(Anaemia due to chronic disease, unspecified)","Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW) are available, which are essential for screening anemia. Additionally, the presence of albumin (LBXSAL) and other blood parameters can help assess underlying chronic diseases contributing to anemia.",Possible
3A72.0,3A72,Congenital sideroblastic anaemias,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia and abnormal erythropoiesis characteristic of congenital sideroblastic anemias. However, iron studies (e.g., serum iron, ferritin) are not listed, which limits the ability to fully assess iron metabolism abnormalities typically associated with this condition.",Possible
3A72.00,3A72,Hereditary sideroblastic anaemias,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify microcytic anemia and abnormal erythropoiesis characteristic of hereditary sideroblastic anemias. However, iron studies (e.g., serum iron, ferritin) are not listed, which are typically essential for definitive diagnosis. Despite this, the available features can still provide a reasonable screening framework.",Possible
3A72.01,3A72,Hereditary syndromic sideroblastic anaemia,"Key signals for hereditary syndromic sideroblastic anemia, such as specific iron studies (e.g., serum ferritin, transferrin saturation), genetic testing for mutations, and bone marrow examination for ringed sideroblasts, are missing.",Not Possible
3A72.0Y,3A72,Other specified congenital sideroblastic anaemias,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including congenital sideroblastic anemia. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to fully characterize the iron metabolism abnormalities typically associated with sideroblastic anemia. Despite this, the existing features can still provide a reasonable basis for initial screening.",Possible
3A72.0Z,3A72,"(Congenital sideroblastic anaemias, unspecified)","Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia and suggest the presence of sideroblastic anemia. However, iron studies (e.g., serum iron, ferritin) are not listed, which limits the ability to fully assess iron metabolism, a critical aspect in diagnosing sideroblastic anemia.",Possible
3A72.1,3A72,Acquired sideroblastic anaemias,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify anemia and its characteristics. However, iron studies (e.g., serum iron, ferritin) are not listed, which are crucial for diagnosing sideroblastic anemia specifically. Despite this, the available features can still provide a reasonable basis for screening.",Possible
3A72.Z,3A72,"(Sideroblastic anaemia, unspecified)","Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities consistent with sideroblastic anemia. However, iron studies (e.g., serum iron, ferritin) are not listed, which limits the ability to fully assess iron metabolism, a critical aspect of diagnosing sideroblastic anemia. Nonetheless, the available features can still provide a reasonable basis for screening.",Possible
3A80.0,3A80,Primary inherited erythrocytosis,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for screening erythrocytosis. Additionally, age (RIDAGEYR) and gender (RIAGENDR) can help stratify risk, making screening feasible.",Possible
3A80.Y,3A80,Other specified congenital polycythaemia,"Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for assessing polycythemia. These features can help identify elevated red cell mass indicative of congenital polycythemia.",Possible
3A80.Z,3A80,"(Congenital polycythaemia, unspecified)","Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for screening polycythaemia. These features can help identify elevated red cell mass indicative of the condition.",Possible
3A81.0,3A81,"(Polycythaemia due to hypoxia, including high altitude)","Key hematological features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for identifying polycythaemia. Additionally, demographic data (age, gender) can help stratify risk. However, altitude exposure data is not available, which could limit the specificity of the assessment.",Possible
3A81.1,3A81,Polycythaemia due to over-transfusion or blood doping,"Key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for screening polycythaemia. These features can help assess elevated red cell mass indicative of polycythaemia due to over-transfusion or blood doping.",Possible
3A81.2,3A81,Relative polycythaemia,"Relative polycythemia can be assessed using red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are critical indicators for diagnosing polycythemia. Additionally, age (RIDAGEYR) and gender (RIAGENDR) can help stratify risk.",Possible
3A81.Y,3A81,Other specified acquired polycythaemia,"Key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for assessing polycythemia. Additionally, white blood cell count (LBXWBCSI) and platelet count (LBXPLTSI) can provide further context. These features allow for a meaningful screening approach to identify acquired polycythemia.",Possible
3A81.Z,3A81,"(Acquired polycythaemia, unspecified)","The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of acquired polycythemia.",Possible
3A8Z,3A8Z,"(Polycythaemia, unspecified)","Key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for screening polycythaemia. These features can help identify elevated red cell mass indicative of the condition.",Possible
3A90,3A90,Anaemia due to acute disease,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and white blood cell count (LBXWBCSI), which are essential for screening anemia. These features can help assess the likelihood of anemia due to acute disease by evaluating changes in blood counts and indices.",Possible
3A91,3A91,Congenital methaemoglobinaemia,"Key signals for congenital methaemoglobinaemia, such as methemoglobin levels or specific genetic markers, are not included in the available features.",Not Possible
3A92,3A92,Hereditary methaemoglobinaemia,"Key signals for hereditary methaemoglobinaemia, such as methemoglobin levels or specific genetic markers, are not included in the available features.",Not Possible
3A93,3A93,Acquired methaemoglobinaemia,"Acquired methaemoglobinaemia requires specific measurements of methemoglobin levels or related biomarkers, which are not included in the available features.",Not Possible
3A94,3A94,Acute posthaemorrhagic anaemia,"Key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which are essential for assessing anemia. These features can help identify acute posthaemorrhagic anemia by indicating low hemoglobin and hematocrit levels, thus enabling screening and likelihood assessment.",Possible
3A9Y,3A9Y,Other specified anaemias or erythrocyte disorders,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening various anemias. These features can help assess the likelihood of other specified anemias or erythrocyte disorders effectively.",Possible
3A9Z,3A9Z,"(Anaemias or other erythrocyte disorders, unspecified)","The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening various anemias. These features can help assess erythrocyte disorders and provide a basis for further evaluation.",Possible
3B10.0,3B10,Haemophilia A,"Key signals for screening Haemophilia A, such as factor VIII activity levels or specific genetic testing for mutations in the F8 gene, are not included in the available features.",Not Possible
3B10.1,3B10,Hereditary factor VIII deficiency with anti-factor VIII inhibitor,"Key signals for screening hereditary factor VIII deficiency with anti-factor VIII inhibitor, such as specific factor VIII activity assays and inhibitor testing, are not available in the listed features.",Not Possible
3B10.Y,3B10,Other specified hereditary factor VIII deficiency,"Key signals for screening hereditary factor VIII deficiency, such as specific factor VIII activity assays or genetic testing for mutations in the F8 gene, are not included in the available features.",Not Possible
3B10.Z,3B10,"(Hereditary factor VIII deficiency, unspecified)","Key signals for screening hereditary factor VIII deficiency, such as specific coagulation factor assays (e.g., factor VIII activity), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening.",Not Possible
3B11.0,3B11,Haemophilia B,"Key signals for screening Haemophilia B, such as specific factor IX activity levels or genetic testing for mutations in the F9 gene, are not available in the listed features.",Not Possible
3B11.Y,3B11,Other specified hereditary factor IX deficiency,"Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening.",Not Possible
3B11.Z,3B11,"(Hereditary factor IX deficiency, unspecified)","Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic testing necessary for effective screening.",Not Possible
3B12,3B12,Von Willebrand disease,"Key diagnostic features for Von Willebrand disease, such as von Willebrand factor levels and specific platelet function tests, are not included in the available features.",Not Possible
3B13,3B13,Haemophilia C,"Key signals for screening Haemophilia C, such as specific coagulation factor assays (e.g., factor XI levels) and genetic testing for mutations in the F11 gene, are not available in the listed features.",Not Possible
3B14.0,3B14,Hereditary deficiency of factor I,"Key signals for screening hereditary deficiency of factor I, such as specific coagulation factor assays (e.g., factor I levels) and genetic testing, are not available in the listed features.",Not Possible
3B14.1,3B14,Hereditary factor X deficiency,"Key signals for screening hereditary factor X deficiency, such as specific coagulation factor assays (e.g., factor X activity), are missing. The available features do not include relevant hematological parameters or coagulation tests necessary for assessing this deficiency.",Not Possible
3B14.2,3B14,Combined deficiency of vitamin K-dependent clotting factors,"Key signals for screening combined deficiency of vitamin K-dependent clotting factors, such as prothrombin time (PT) and specific vitamin K levels, are missing. The available features do not include coagulation parameters necessary for assessing this condition.",Not Possible
3B14.Z,3B14,"(Other inherited coagulation factor deficiency with bleeding tendency, unspecified)","Key signals for screening inherited coagulation factor deficiencies, such as specific factor assays (e.g., Factor VIII, Factor IX levels) and genetic testing, are missing. The available features do not provide sufficient information to assess bleeding tendencies related to coagulation factor deficiencies.",Not Possible
3B15,3B15,Inherited coagulation factor deficiency without bleeding tendency,"Key signals for screening inherited coagulation factor deficiencies, such as specific factor assays (e.g., factor VIII, factor IX levels) and genetic testing, are missing. The available features do not provide the necessary information to assess coagulation factor levels or bleeding tendencies.",Not Possible
3B20,3B20,Disseminated intravascular coagulation,"Key hematological parameters such as platelet count (LBXPLTSI), white blood cell count (LBXWBCSI), and hemoglobin (LBXHGB) are available, which can help identify thrombocytopenia, leukocytosis, or hemolysis associated with disseminated intravascular coagulation (DIC). However, the absence of specific markers like D-dimer or fibrinogen levels limits the precision of the screening. Nonetheless, the available features can still provide a reasonable basis for assessing the likelihood of DIC.",Possible
